time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
297.5684,0.0721,1.7373,0.0847,10.1223,0.1328,354.9503
297.5799,0.072,1.7373,0.0845,10.1053,0.1097,354.8982
297.5904,0.0721,1.7373,0.0845,10.0689,0.0997,354.909
297.6017,0.0721,1.7373,0.0843,10.051,0.0979,354.932
297.6125,0.0721,1.7374,0.0843,10.0899,0.1003,354.9277
297.6235,0.0721,1.7373,0.0841,10.0725,0.1043,354.8953
297.635,0.0721,1.7373,0.084,10.0868,0.0908,354.9108
297.6459,0.072,1.7372,0.0839,10.0407,0.0939,354.9437
297.6569,0.0721,1.7372,0.0839,10.0418,0.1026,354.9125
297.6682,0.0721,1.7372,0.0837,10.0996,0.1143,354.8915
297.6793,0.0721,1.7371,0.0836,10.0614,0.1112,354.9138
297.6904,0.0721,1.7372,0.0834,10.0861,0.1323,354.9257
297.7016,0.0721,1.7371,0.0833,10.1261,0.1401,354.9336
297.7128,0.0721,1.7371,0.0833,10.0828,0.1265,354.8991
297.7238,0.0721,1.7371,0.0831,10.105,0.1425,354.8989
297.7351,0.0721,1.7372,0.0831,10.0548,0.1856,354.9475
297.746,0.0721,1.7372,0.083,10.0776,0.142,354.8851
297.7571,0.0721,1.7371,0.0829,10.0848,0.1439,354.9079
297.7685,0.072,1.7371,0.0828,10.0971,0.1266,354.9015
297.7793,0.0721,1.7372,0.0827,10.0574,0.1489,354.9083
297.7904,0.0721,1.7371,0.0826,10.0718,0.095,354.8861
297.8016,0.072,1.737,0.0825,10.0704,0.1181,354.8932
297.8128,0.072,1.737,0.0825,10.0797,0.1063,354.8924
297.824,0.0721,1.7371,0.0824,10.0613,0.0976,354.8443
297.8351,0.072,1.7372,0.0824,10.0223,0.0813,354.8482
297.8461,0.0721,1.7371,0.0822,9.991,0.0952,354.8183
297.8571,0.0721,1.7371,0.0822,10.0309,0.074,354.7502
297.8685,0.0721,1.737,0.0822,10.0686,0.0399,354.8135
297.8794,0.0721,1.7369,0.0821,10.0725,0.0367,354.8034
297.8904,0.0721,1.7369,0.082,10.0289,0.0609,354.8287
297.9014,0.072,1.7369,0.0819,10.0502,0.0597,354.8295
297.9127,0.0721,1.7369,0.0818,10.0966,0.0385,354.8166
297.9239,0.072,1.7369,0.0818,10.083,0.0843,354.8038
297.9349,0.072,1.7369,0.0818,10.0844,0.043,354.794
297.9464,0.0719,1.737,0.0817,10.0578,0.0596,354.8292
297.9572,0.072,1.737,0.0817,10.0799,0.0015,354.8227
297.9684,0.072,1.7369,0.0816,10.0687,-0.001,354.8509
297.9792,0.072,1.7369,0.0816,10.1071,359.9849,354.8426
297.9904,0.0719,1.7368,0.0815,10.1152,359.9727,354.8452
298.0016,0.072,1.7369,0.0815,10.0765,359.9742,354.8515
298.0125,0.072,1.7368,0.0814,10.1018,359.9596,354.8463
298.024,0.072,1.7369,0.0814,10.1295,359.9707,354.829
298.0352,0.0721,1.737,0.0813,10.0876,359.9941,354.8155
298.0465,0.072,1.737,0.0813,10.0618,0.0062,354.7918
298.0569,0.072,1.737,0.0813,10.0719,359.9814,354.7892
298.0681,0.072,1.737,0.0812,10.0741,359.9938,354.8024
298.0793,0.0721,1.7371,0.0813,10.0714,0.0311,354.7967
298.0905,0.0721,1.737,0.0812,10.0888,0.0434,354.8153
298.1018,0.072,1.737,0.0811,10.0972,0.0261,354.7816
298.1125,0.0719,1.7371,0.0811,10.0986,0.0284,354.7387
298.1238,0.072,1.7371,0.0811,10.1057,0.0355,354.7491
298.135,0.0719,1.7372,0.0811,10.0966,0.0658,354.7533
298.1466,0.0719,1.7371,0.0811,10.0813,0.0539,354.7355
298.1572,0.0718,1.7372,0.0811,10.0699,0.0266,354.7502
298.1684,0.0718,1.7372,0.0811,10.0773,0.0026,354.7328
298.1794,0.0717,1.7372,0.0811,10.0864,0.0846,354.7257
298.1905,0.0717,1.7372,0.0811,10.0736,359.9609,354.6862
298.2015,0.0716,1.7372,0.0811,10.0873,-0.0011,354.7112
298.2126,0.0716,1.7371,0.0811,10.0897,0.0093,354.691
298.2238,0.0715,1.7371,0.0811,10.0803,0.0044,354.7122
298.235,0.0715,1.7371,0.0811,10.1287,0.0611,354.7654
298.2469,0.0714,1.7371,0.0811,10.1284,0.0395,354.7324
298.2573,0.0714,1.7371,0.0811,10.1414,0.0766,354.7816
298.2683,0.0714,1.7372,0.0811,10.142,0.0917,354.7456
298.2794,0.0713,1.7371,0.0811,10.1617,0.1075,354.7263
298.2907,0.0713,1.7372,0.0811,10.1044,0.0779,354.765
298.3018,0.0713,1.7373,0.0811,10.1599,0.0369,354.7429
298.3125,0.0713,1.7371,0.0811,10.1095,0.1249,354.7461
298.3246,0.0712,1.7372,0.0811,10.0896,0.1137,354.7339
298.3354,0.0712,1.7371,0.0811,10.156,0.0736,354.7115
298.3462,0.0712,1.7371,0.0811,10.1447,0.0839,354.7449
298.3573,0.0711,1.7371,0.0811,10.1322,0.0633,354.7296
298.3682,0.0711,1.7372,0.0811,10.1577,0.0702,354.7602
298.3792,0.0712,1.7372,0.0811,10.1743,0.0825,354.708
298.3904,0.0711,1.7372,0.0812,10.1438,0.0808,354.7435
298.4014,0.0712,1.7372,0.0812,10.1013,0.1204,354.7661
298.4126,0.0711,1.7372,0.0812,10.0927,0.0521,354.6919
298.4238,0.0711,1.7373,0.0812,10.0759,0.1179,354.7229
298.435,0.0711,1.7372,0.0813,10.0685,0.1117,354.6714
298.4472,0.0712,1.7371,0.0813,10.1057,0.1303,354.6458
298.4572,0.0712,1.7371,0.0814,10.0882,0.1007,354.6546
298.468,0.0712,1.737,0.0814,10.1141,0.1458,354.6601
298.4794,0.0712,1.737,0.0815,10.1332,0.1638,354.699
298.4904,0.0712,1.7371,0.0815,10.1704,0.1673,354.7216
298.5015,0.0713,1.737,0.0815,10.1971,0.1661,354.678
298.5126,0.0713,1.737,0.0815,10.185,0.214,354.7377
298.5238,0.0712,1.737,0.0816,10.2124,0.2189,354.7257
298.5349,0.0712,1.7371,0.0816,10.2134,0.2363,354.7149
298.5461,0.0712,1.7371,0.0817,10.2133,0.2201,354.7381
298.5571,0.0711,1.737,0.0817,10.189,0.1825,354.7416
298.5681,0.0711,1.7371,0.0816,10.1605,0.1907,354.7106
298.5793,0.0711,1.7372,0.0817,10.156,0.2059,354.687
298.5905,0.0711,1.7372,0.0817,10.1631,0.1544,354.7214
298.6017,0.0711,1.7371,0.0817,10.1781,0.1271,354.7069
298.6127,0.0712,1.7373,0.0817,10.1397,0.1593,354.7273
298.6239,0.0712,1.7373,0.0818,10.1015,0.168,354.7306
298.635,0.0712,1.7373,0.0818,10.0913,0.1549,354.7096
298.6458,0.0712,1.7373,0.0817,10.0992,0.1388,354.6856
298.6572,0.0712,1.7373,0.0818,10.0642,0.1581,354.7033
298.6683,0.0712,1.7373,0.0818,10.0524,0.1696,354.7158
298.6792,0.0712,1.7373,0.0818,10.0414,0.2285,354.7283
298.6902,0.0713,1.7373,0.0819,10.0484,0.1854,354.7153
298.7014,0.0713,1.7373,0.0819,10.0189,0.2405,354.7266
298.7127,0.0713,1.7374,0.0819,10.0446,0.2237,354.705
298.7238,0.0714,1.7374,0.0819,10.0001,0.2251,354.7006
298.735,0.0713,1.7374,0.082,10.0512,0.1871,354.6689
298.7462,0.0714,1.7374,0.082,10.0393,0.1708,354.6754
298.7572,0.0713,1.7374,0.082,10.0009,0.2302,354.7191
298.7682,0.0714,1.7374,0.0821,10.0289,0.2273,354.7161
298.7793,0.0713,1.7374,0.0821,10.0319,0.2291,354.6649
298.7904,0.0713,1.7373,0.0821,10.0364,0.2267,354.6893
298.8015,0.0713,1.7373,0.0822,10.0108,0.2347,354.6505
298.8127,0.0713,1.7373,0.0822,10.052,0.2378,354.6816
298.8237,0.0713,1.7373,0.0823,10.025,0.262,354.7165
