time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
436.6947,-0.0455,1.1597,0.3671,16.4144,152.0573,9.4717
436.7066,-0.0456,1.1598,0.367,16.3919,152.0656,9.5211
436.7171,-0.0458,1.1598,0.3669,16.3765,152.03,9.5713
436.7281,-0.046,1.1598,0.3667,16.3763,151.9425,9.6063
436.7392,-0.0462,1.1599,0.3666,16.3934,151.889,9.6219
436.7501,-0.0463,1.16,0.3665,16.4,151.8664,9.6357
436.7615,-0.0465,1.1601,0.3664,16.4111,151.8422,9.6775
436.7727,-0.0465,1.1602,0.3663,16.413,151.851,9.7523
436.7835,-0.0465,1.1602,0.3662,16.4082,151.8888,9.8298
436.7946,-0.0466,1.1602,0.3661,16.3986,151.8903,9.8358
436.8059,-0.0467,1.1603,0.3659,16.4018,151.8552,9.8005
436.8172,-0.0468,1.1604,0.3658,16.4316,151.8126,9.7718
436.8279,-0.0469,1.1605,0.3656,16.4581,151.7681,9.7502
436.8387,-0.0469,1.1605,0.3655,16.4734,151.7653,9.7485
436.85,-0.0469,1.1605,0.3654,16.472,151.775,9.7745
436.861,-0.0469,1.1606,0.3654,16.4694,151.8098,9.8103
436.8721,-0.0468,1.1606,0.3653,16.4695,151.8377,9.8385
436.8836,-0.0467,1.1606,0.3652,16.4748,151.8483,9.8568
436.8947,-0.0466,1.1605,0.3652,16.4609,151.8813,9.8607
436.9055,-0.0465,1.1606,0.3652,16.4532,151.9501,9.8731
436.9169,-0.0463,1.1606,0.3652,16.4434,152.0401,9.9239
436.9281,-0.0461,1.1606,0.3652,16.4445,152.1213,9.9949
436.9391,-0.0459,1.1607,0.3651,16.4382,152.1677,10.0565
436.9503,-0.0458,1.1607,0.3651,16.4539,152.1593,10.062
436.9612,-0.0456,1.1607,0.3651,16.4729,152.168,10.0184
436.9723,-0.0455,1.1608,0.365,16.4907,152.205,10.0172
436.9834,-0.0453,1.1609,0.365,16.5096,152.248,10.0313
436.9946,-0.0452,1.1609,0.365,16.5014,152.2928,10.0435
437.006,-0.045,1.1609,0.365,16.4894,152.3405,10.0534
437.017,-0.0448,1.1609,0.365,16.4929,152.4175,10.069
437.0281,-0.0446,1.161,0.365,16.4845,152.4903,10.0732
437.0391,-0.0445,1.161,0.365,16.4998,152.5237,10.0798
437.0503,-0.0444,1.161,0.3648,16.527,152.4978,10.0816
437.0612,-0.0442,1.161,0.3648,16.5295,152.495,10.0955
437.0724,-0.0441,1.1609,0.3648,16.5067,152.5322,10.1669
437.0836,-0.0439,1.1611,0.3648,16.5105,152.6144,10.1537
437.0945,-0.0437,1.1609,0.3648,16.4833,152.6607,10.2295
437.1057,-0.0437,1.1609,0.3648,16.4727,152.6858,10.2577
