time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
168.4574,0.0093,1.5961,0.1591,41.8338,358.3177,358.2462
168.4684,0.0093,1.5961,0.1591,41.8687,358.3441,358.2379
168.4796,0.0094,1.596,0.1592,41.8663,358.3421,358.2139
168.4907,0.0095,1.5959,0.1592,41.8675,358.3319,358.2321
168.5019,0.0095,1.5959,0.1592,41.8638,358.3958,358.269
168.513,0.0096,1.5958,0.1592,41.9304,358.3649,358.1999
168.5244,0.0096,1.5958,0.1593,41.9073,358.3385,358.227
168.5353,0.0097,1.5958,0.1593,41.9408,358.4124,358.1972
168.5465,0.0097,1.5958,0.1593,41.9662,358.3927,358.2119
168.5575,0.0098,1.5958,0.1594,41.9398,358.4029,358.1786
168.5685,0.0099,1.5958,0.1594,41.9184,358.4212,358.1558
168.5797,0.01,1.5958,0.1595,41.96,358.4222,358.0901
168.591,0.01,1.5958,0.1596,41.9365,358.4461,358.0706
168.6019,0.0101,1.5958,0.1596,41.977,358.4857,358.0631
168.6132,0.0102,1.5957,0.1596,41.9163,358.5411,358.1083
168.6243,0.0102,1.5957,0.1596,41.9525,358.5741,358.1336
168.6351,0.0102,1.5957,0.1597,42.0005,358.6091,358.1486
168.6464,0.0103,1.5957,0.1598,41.9963,358.5872,358.1417
168.6577,0.0102,1.5957,0.1598,42.0222,358.6068,358.0967
168.6685,0.0102,1.5958,0.1599,41.9598,358.6415,358.1303
168.6797,0.0102,1.5958,0.1599,41.9697,358.5877,358.0424
168.6908,0.0102,1.5959,0.1601,41.9747,358.5362,357.9854
168.7018,0.0102,1.596,0.1601,41.928,358.5377,357.9726
168.7131,0.0102,1.5959,0.1602,41.927,358.6069,357.9957
168.7243,0.0102,1.5959,0.1603,41.9378,358.6214,357.9897
168.7355,0.0102,1.5958,0.1604,41.8995,358.6057,357.9502
168.7466,0.0102,1.5958,0.1604,41.8488,358.6645,357.979
168.7575,0.0101,1.5959,0.1605,41.8902,358.6298,357.9492
168.7686,0.01,1.5958,0.1606,41.9136,358.716,357.9989
168.7797,0.01,1.5958,0.1608,41.9388,358.7116,358.014
168.7908,0.0099,1.5959,0.1609,41.9167,358.7499,358.0143
168.802,0.0097,1.596,0.1612,41.8844,358.8126,358.0979
168.813,0.0097,1.5959,0.1613,41.8623,358.7795,358.054
168.8244,0.0096,1.5959,0.1615,41.834,358.8489,358.1207
168.8357,0.0094,1.5959,0.1616,41.8658,358.8874,358.1496
168.8465,0.0092,1.596,0.1618,41.8651,358.8421,358.1743
168.8576,0.0091,1.5959,0.162,41.8732,358.8507,358.2173
168.8686,0.009,1.596,0.1621,41.8631,358.848,358.2835
168.8799,0.0088,1.5959,0.1623,41.8825,358.8233,358.2778
168.891,0.0087,1.5959,0.1624,41.8574,358.826,358.3532
168.9019,0.0086,1.596,0.1625,41.8829,358.7592,358.3159
168.913,0.0085,1.596,0.1627,41.8602,358.7491,358.3265
168.9245,0.0084,1.596,0.1628,41.8554,358.7036,358.3313
168.9359,0.0083,1.596,0.1629,41.8104,358.6947,358.3245
168.9468,0.0081,1.5961,0.1631,41.7895,358.6722,358.3606
168.9578,0.008,1.5961,0.1632,41.7741,358.6986,358.3839
168.9689,0.0079,1.5961,0.1633,41.7403,358.6135,358.3276
168.9798,0.0077,1.5961,0.1635,41.7791,358.5814,358.3107
168.991,0.0077,1.5961,0.1636,41.7496,358.5855,358.298
