time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
127.5975,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.6087,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.62,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.6307,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.642,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.6531,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.6642,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.6753,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.6865,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.6975,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7087,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.72,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7311,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7421,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7531,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7646,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7752,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7866,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.7976,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.809,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.8199,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.831,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.8424,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.8534,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.8647,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.8755,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.8867,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.8978,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9176,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9198,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9318,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9425,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9535,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9642,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9756,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9864,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
127.9973,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0083,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0195,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0311,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0422,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0536,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0647,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0763,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0862,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.0971,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.1083,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.1193,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.1302,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.1416,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.1526,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
128.1635,0.8275,0.023,-0.1559,0.5431,58.2327,194.0027
