ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p31,1,1,1,1,35.99035,39.83466,Practice,Hit,36.45674,37.71237,Centre,0,0,1.5,Infinity,0.9282,posture_decision_experiment/p31/S001/movement_head_T001.csv,posture_decision_experiment/p31/S001/movement_right_hand_T001.csv,posture_decision_experiment/p31/S001/movement_left_hand_T001.csv
p31,1,2,1,2,43.90145,43.90146,Practice,Hit,,,Centre,0,0,1.3,Infinity,1.2156,posture_decision_experiment/p31/S001/movement_head_T002.csv,posture_decision_experiment/p31/S001/movement_right_hand_T002.csv,posture_decision_experiment/p31/S001/movement_left_hand_T002.csv
p31,1,3,1,3,47.5793,49.02385,Practice,Hit,47.93502,48.46828,Centre,0,0,1.3,Infinity,0.8466,posture_decision_experiment/p31/S001/movement_head_T003.csv,posture_decision_experiment/p31/S001/movement_right_hand_T003.csv,posture_decision_experiment/p31/S001/movement_left_hand_T003.csv
p31,1,4,1,4,52.03502,53.19066,Practice,Hit,52.34629,52.87954,Centre,0,0,1,Infinity,0.9949,posture_decision_experiment/p31/S001/movement_head_T004.csv,posture_decision_experiment/p31/S001/movement_right_hand_T004.csv,posture_decision_experiment/p31/S001/movement_left_hand_T004.csv
p31,1,5,1,5,56.99067,58.09082,Practice,Hit,57.44627,57.82415,Centre,0,0,1,Infinity,1.0951,posture_decision_experiment/p31/S001/movement_head_T005.csv,posture_decision_experiment/p31/S001/movement_right_hand_T005.csv,posture_decision_experiment/p31/S001/movement_left_hand_T005.csv
p31,1,6,1,6,61.85753,65.43551,Practice,Hit,62.16901,62.64653,Centre,0,0,1.5,Infinity,1.3476,posture_decision_experiment/p31/S001/movement_head_T006.csv,posture_decision_experiment/p31/S001/movement_right_hand_T006.csv,posture_decision_experiment/p31/S001/movement_left_hand_T006.csv
p31,1,7,2,1,74.74626,76.03587,Baseline,Hit,75.14629,75.53585,Centre,0,0,1.5,Infinity,1.2921,posture_decision_experiment/p31/S001/movement_head_T007.csv,posture_decision_experiment/p31/S001/movement_right_hand_T007.csv,posture_decision_experiment/p31/S001/movement_left_hand_T007.csv
p31,1,8,2,2,79.2128,80.24712,Baseline,Hit,79.70129,80.10267,Centre,0,0,1,Infinity,0.9772,posture_decision_experiment/p31/S001/movement_head_T008.csv,posture_decision_experiment/p31/S001/movement_right_hand_T008.csv,posture_decision_experiment/p31/S001/movement_left_hand_T008.csv
p31,1,9,2,3,83.97931,84.9695,Baseline,Hit,84.44613,84.71393,Centre,0,0,1,Infinity,1.3096,posture_decision_experiment/p31/S001/movement_head_T009.csv,posture_decision_experiment/p31/S001/movement_right_hand_T009.csv,posture_decision_experiment/p31/S001/movement_left_hand_T009.csv
p31,1,10,2,4,88.04591,89.34742,Baseline,Hit,88.41233,88.85851,Centre,0,0,1.5,Infinity,1.0646,posture_decision_experiment/p31/S001/movement_head_T010.csv,posture_decision_experiment/p31/S001/movement_right_hand_T010.csv,posture_decision_experiment/p31/S001/movement_left_hand_T010.csv
p31,1,11,2,5,92.75763,94.4587,Baseline,Hit,93.10213,93.53645,Centre,0,0,1.5,Infinity,1.3983,posture_decision_experiment/p31/S001/movement_head_T011.csv,posture_decision_experiment/p31/S001/movement_right_hand_T011.csv,posture_decision_experiment/p31/S001/movement_left_hand_T011.csv
p31,1,12,2,6,97.51349,98.4255,Baseline,Hit,97.90225,98.26994,Centre,0,0,1,Infinity,0.9763,posture_decision_experiment/p31/S001/movement_head_T012.csv,posture_decision_experiment/p31/S001/movement_right_hand_T012.csv,posture_decision_experiment/p31/S001/movement_left_hand_T012.csv
p31,1,13,2,7,101.269,102.3034,Baseline,Hit,101.6913,102.0923,Centre,0,0,1.3,Infinity,0.8238,posture_decision_experiment/p31/S001/movement_head_T013.csv,posture_decision_experiment/p31/S001/movement_right_hand_T013.csv,posture_decision_experiment/p31/S001/movement_left_hand_T013.csv
p31,1,14,2,8,105.4804,106.4258,Baseline,Hit,105.969,106.3035,Centre,0,0,1,Infinity,0.7989,posture_decision_experiment/p31/S001/movement_head_T014.csv,posture_decision_experiment/p31/S001/movement_right_hand_T014.csv,posture_decision_experiment/p31/S001/movement_left_hand_T014.csv
p31,1,15,2,9,109.8915,110.7481,Baseline,Hit,110.325,110.6037,Centre,0,0,1,Infinity,1.0353,posture_decision_experiment/p31/S001/movement_head_T015.csv,posture_decision_experiment/p31/S001/movement_right_hand_T015.csv,posture_decision_experiment/p31/S001/movement_left_hand_T015.csv
p31,1,16,2,10,113.9473,115.0483,Baseline,Hit,114.4361,114.8038,Centre,0,0,1.3,Infinity,1.1795,posture_decision_experiment/p31/S001/movement_head_T016.csv,posture_decision_experiment/p31/S001/movement_right_hand_T016.csv,posture_decision_experiment/p31/S001/movement_left_hand_T016.csv
p31,1,17,2,11,118.2358,119.0151,Baseline,Hit,118.5802,118.8706,Centre,0,0,1,Infinity,1.1732,posture_decision_experiment/p31/S001/movement_head_T017.csv,posture_decision_experiment/p31/S001/movement_right_hand_T017.csv,posture_decision_experiment/p31/S001/movement_left_hand_T017.csv
p31,1,18,2,12,122.5028,123.5041,Baseline,Hit,122.87,122.9041,Centre,0,0,1.5,Infinity,1.4734,posture_decision_experiment/p31/S001/movement_head_T018.csv,posture_decision_experiment/p31/S001/movement_right_hand_T018.csv,posture_decision_experiment/p31/S001/movement_left_hand_T018.csv
p31,1,19,2,13,126.3809,127.3931,Baseline,Hit,126.7804,127.182,Centre,0,0,1.3,Infinity,0.8591,posture_decision_experiment/p31/S001/movement_head_T019.csv,posture_decision_experiment/p31/S001/movement_right_hand_T019.csv,posture_decision_experiment/p31/S001/movement_left_hand_T019.csv
p31,1,20,2,14,130.6696,131.7488,Baseline,Hit,131.0586,131.4266,Centre,0,0,1.5,Infinity,1.2619,posture_decision_experiment/p31/S001/movement_head_T020.csv,posture_decision_experiment/p31/S001/movement_right_hand_T020.csv,posture_decision_experiment/p31/S001/movement_left_hand_T020.csv
p31,1,21,2,15,134.8477,135.7601,Baseline,Hit,135.1696,135.549,Centre,0,0,1.3,Infinity,1.0842,posture_decision_experiment/p31/S001/movement_head_T021.csv,posture_decision_experiment/p31/S001/movement_right_hand_T021.csv,posture_decision_experiment/p31/S001/movement_left_hand_T021.csv
