time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
370.9228,0.0824,1.5924,0.2265,12.6014,358.918,1.1782
370.9341,0.0824,1.5925,0.2265,12.5805,358.928,1.1655
370.9449,0.0825,1.5926,0.2265,12.5767,358.9091,1.1587
370.9558,0.0825,1.5926,0.2266,12.5261,358.9012,1.1616
370.967,0.0826,1.5925,0.2265,12.5052,358.9149,1.1543
370.9782,0.0826,1.5926,0.2265,12.4855,358.903,1.1703
370.9893,0.0827,1.5926,0.2266,12.5023,358.8686,1.1273
371.0004,0.0827,1.5926,0.2265,12.4893,358.8911,1.1081
371.0113,0.0828,1.5926,0.2265,12.4817,358.9234,1.1432
371.0231,0.0828,1.5926,0.2265,12.4483,358.9416,1.1021
371.0337,0.0829,1.5927,0.2265,12.4422,358.9116,1.084
371.0448,0.083,1.5927,0.2265,12.4425,358.9499,1.1329
371.056,0.0831,1.5927,0.2264,12.4468,358.9557,1.0924
371.0669,0.0831,1.5927,0.2264,12.4064,358.9878,1.1362
371.078,0.0832,1.5927,0.2264,12.4579,358.93,1.1033
371.0896,0.0832,1.5927,0.2264,12.4376,358.9496,1.1456
371.1003,0.0833,1.5928,0.2264,12.4321,358.9566,1.0832
371.1114,0.0833,1.5928,0.2264,12.4042,358.9474,1.1185
371.1226,0.0834,1.5927,0.2264,12.3736,358.9535,1.164
371.1334,0.0835,1.5928,0.2264,12.3952,358.9648,1.0853
371.1446,0.0836,1.5928,0.2264,12.3539,358.9409,1.13
371.1558,0.0836,1.5928,0.2264,12.3783,358.9522,1.1156
371.1669,0.0837,1.5928,0.2264,12.3731,358.9351,1.1306
371.178,0.0838,1.5928,0.2265,12.3409,358.9755,1.1389
371.1891,0.0838,1.5928,0.2264,12.3569,358.9567,1.1131
371.2003,0.0838,1.5928,0.2263,12.3997,358.9485,1.1353
371.2115,0.0838,1.5927,0.2264,12.3912,358.9115,1.1315
371.2225,0.0839,1.5928,0.2264,12.3394,358.9428,1.1583
371.2338,0.084,1.5928,0.2264,12.4214,358.9483,1.1569
371.2447,0.0841,1.5928,0.2264,12.3623,358.9411,1.1518
371.2559,0.0841,1.5928,0.2264,12.413,358.8984,1.1143
371.2671,0.0842,1.5928,0.2265,12.3861,358.9074,1.0857
371.278,0.0843,1.5928,0.2265,12.3667,358.9222,1.1251
371.2893,0.0844,1.5928,0.2266,12.3687,358.9176,1.1199
371.3005,0.0845,1.5928,0.2266,12.354,358.9305,1.1291
371.3116,0.0846,1.5927,0.2267,12.3815,358.9181,1.1058
371.3226,0.0847,1.5927,0.2267,12.3577,358.9049,1.1145
371.3336,0.0847,1.5927,0.2268,12.3799,358.9732,1.1049
371.3448,0.0847,1.5926,0.2269,12.3913,358.9594,1.1211
371.3559,0.0848,1.5926,0.227,12.3947,358.9427,1.1327
371.367,0.0849,1.5927,0.227,12.4317,358.9157,1.1722
371.3781,0.0848,1.5926,0.2271,12.4561,358.9379,1.1144
371.3891,0.0849,1.5926,0.2272,12.4221,358.9024,1.07
371.4004,0.0849,1.5926,0.2273,12.4024,358.97,1.1132
371.4116,0.0849,1.5925,0.2274,12.4078,358.9518,1.1493
371.4229,0.085,1.5925,0.2275,12.3971,358.9348,1.12
371.4337,0.0849,1.5925,0.2276,12.4414,358.9257,1.105
371.4447,0.0849,1.5925,0.2277,12.427,358.8767,1.1074
371.4559,0.0849,1.5924,0.2278,12.4401,358.9035,1.1311
371.4673,0.085,1.5924,0.2279,12.4544,358.9028,1.1335
371.4782,0.0849,1.5924,0.228,12.4765,358.9179,1.1295
371.4893,0.0849,1.5923,0.2282,12.4657,358.9149,1.1179
371.5005,0.085,1.5923,0.2282,12.4654,358.9089,1.1411
371.5114,0.085,1.5922,0.2283,12.4658,358.9283,1.1723
371.5227,0.085,1.5923,0.2284,12.4969,358.9381,1.1483
371.5336,0.0849,1.5923,0.2285,12.4889,358.9141,1.1517
371.5447,0.0849,1.5922,0.2286,12.4218,358.9534,1.1553
371.5559,0.0849,1.5923,0.2287,12.4837,358.9718,1.1618
371.5669,0.0849,1.5922,0.2288,12.487,358.919,1.1304
371.578,0.0849,1.5923,0.2289,12.4425,358.9348,1.1478
371.5893,0.0848,1.5923,0.229,12.4619,358.9639,1.1617
371.6004,0.0849,1.5922,0.2292,12.4434,358.8824,1.1404
371.6114,0.0847,1.5922,0.2293,12.4608,358.9641,1.1813
371.6231,0.0847,1.5922,0.2294,12.4383,358.9313,1.2043
371.6336,0.0847,1.5922,0.2296,12.4095,358.9779,1.1975
371.6448,0.0847,1.5922,0.2297,12.4151,358.9353,1.2066
371.6559,0.0846,1.5922,0.2299,12.4005,358.9652,1.1711
371.6669,0.0846,1.5922,0.2301,12.4,358.9939,1.1604
371.6782,0.0846,1.5922,0.2302,12.3758,358.9579,1.1585
371.6892,0.0845,1.5923,0.2304,12.368,358.9623,1.1747
371.7003,0.0845,1.5922,0.2305,12.3386,358.9676,1.1533
371.7112,0.0843,1.5921,0.2307,12.3672,358.9588,1.1716
371.723,0.0842,1.5922,0.2309,12.346,359.0256,1.212
371.7336,0.0843,1.5921,0.2311,12.3837,359.0071,1.2246
371.7447,0.0842,1.5921,0.2313,12.4083,358.9788,1.1889
371.7558,0.0842,1.5922,0.2316,12.4104,359.033,1.2468
371.7668,0.0841,1.5922,0.2318,12.3758,359.0418,1.2511
371.778,0.084,1.5922,0.232,12.3916,359.0337,1.2193
371.7893,0.084,1.5921,0.2321,12.4189,359.0312,1.2585
371.8003,0.0839,1.5921,0.2324,12.4098,359.0314,1.24
371.8115,0.0838,1.5921,0.2325,12.3947,359.0782,1.2407
371.8226,0.0837,1.5921,0.2327,12.3968,359.0409,1.2509
371.8338,0.0836,1.5921,0.2329,12.4119,359.0786,1.2412
371.8448,0.0835,1.5922,0.2332,12.4062,359.088,1.2352
371.8558,0.0835,1.5923,0.2334,12.4163,359.0917,1.2428
371.8671,0.0834,1.5921,0.2336,12.4026,359.1115,1.2778
371.8784,0.0833,1.5923,0.2338,12.4338,359.0398,1.2473
371.8895,0.0832,1.5922,0.234,12.3969,359.0744,1.2662
371.9005,0.0831,1.5922,0.2342,12.4703,359.0904,1.2519
