time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
212.4606,-0.0072,1.5258,0.2104,51.9487,356.3331,358.6705
212.4721,-0.0072,1.5258,0.2104,52.0229,356.2897,358.6619
212.4827,-0.0072,1.5259,0.2104,52.0177,356.3817,358.7717
212.4939,-0.0073,1.5259,0.2105,51.9765,356.3039,358.7144
212.505,-0.0073,1.526,0.2105,51.9502,356.3578,358.7689
212.5161,-0.0073,1.5261,0.2105,51.8899,356.4141,358.8188
212.5272,-0.0073,1.5263,0.2105,51.8646,356.4901,358.9028
212.5382,-0.0072,1.5265,0.2105,51.8158,356.532,358.8684
212.5493,-0.0071,1.5267,0.2106,51.7035,356.6206,358.9543
212.5607,-0.007,1.5269,0.2106,51.5822,356.7363,358.9971
212.5726,-0.007,1.527,0.2105,51.4428,356.7744,358.9935
212.5833,-0.0069,1.527,0.2104,51.3968,356.9643,359.1546
212.5938,-0.007,1.5271,0.2104,51.4057,356.9608,359.2179
212.6049,-0.0069,1.5272,0.2103,51.3475,357.1416,359.3826
212.616,-0.0069,1.5273,0.2102,51.3499,357.1641,359.3974
212.6271,-0.0069,1.5275,0.2102,51.2844,357.2666,359.4732
212.638,-0.007,1.5277,0.2102,51.181,357.2619,359.42
212.6495,-0.0071,1.5279,0.2102,51.1385,357.3176,359.4857
212.6607,-0.0072,1.5281,0.2101,51.0235,357.2605,359.4526
212.6718,-0.0073,1.5283,0.2101,50.9092,357.2372,359.4224
212.6827,-0.0074,1.5284,0.21,50.7601,357.1766,359.4279
212.6941,-0.0074,1.5285,0.2099,50.7091,357.1827,359.4918
212.7053,-0.0074,1.5285,0.2097,50.6578,357.1418,359.496
212.7159,-0.0074,1.5286,0.2095,50.6297,357.0685,359.4598
212.7271,-0.0074,1.5288,0.2094,50.5735,357.1093,359.481
212.7382,-0.0075,1.5289,0.2093,50.532,357.0452,359.4038
212.7494,-0.0075,1.529,0.2093,50.4684,357.019,359.3945
212.7605,-0.0075,1.529,0.209,50.4034,356.9788,359.3501
212.7718,-0.0076,1.5291,0.2087,50.3555,356.9386,359.3078
212.7825,-0.0077,1.5292,0.2086,50.4067,356.8766,359.2326
212.7939,-0.0076,1.5293,0.2084,50.3649,356.8204,359.1537
212.805,-0.0076,1.5298,0.2084,50.3279,356.8437,359.1729
212.8163,-0.0077,1.5303,0.2083,50.1944,356.848,359.171
212.8272,-0.0077,1.5307,0.2084,50.0119,356.836,359.1751
212.8382,-0.0078,1.531,0.2082,49.8047,356.8574,359.1609
212.8493,-0.0079,1.5313,0.2079,49.6677,356.8103,359.1042
212.8606,-0.008,1.5317,0.2076,49.5497,356.7518,359.0891
212.8715,-0.0081,1.532,0.2074,49.4897,356.7601,359.1071
212.8828,-0.0082,1.5325,0.2072,49.3538,356.7572,359.1649
212.894,-0.0082,1.5329,0.207,49.2868,356.708,359.1418
212.9051,-0.0083,1.5333,0.2067,49.1534,356.6629,359.1493
212.9167,-0.0083,1.5337,0.2064,48.9654,356.6547,359.1693
212.9272,-0.0084,1.5342,0.2062,48.8465,356.6557,359.1874
212.9383,-0.0085,1.5346,0.2059,48.7052,356.7139,359.2588
212.9492,-0.0087,1.535,0.2057,48.5396,356.6145,359.2043
212.9607,-0.0088,1.5354,0.2054,48.4138,356.6867,359.3505
212.9715,-0.0089,1.5357,0.2051,48.2703,356.6591,359.3679
212.9828,-0.0091,1.5361,0.2048,48.1556,356.6089,359.3603
212.9938,-0.0092,1.5365,0.2046,48.0273,356.5998,359.4114
213.0049,-0.0095,1.5368,0.2044,47.8302,356.558,359.4221
213.017,-0.0096,1.5372,0.204,47.7191,356.4615,359.3766
213.0272,-0.0097,1.5376,0.2038,47.5542,356.4537,359.3908
213.0388,-0.0099,1.5381,0.2035,47.4033,356.4431,359.3834
213.0496,-0.01,1.5386,0.2033,47.2623,356.3575,359.3174
213.0607,-0.0102,1.5394,0.203,47.0748,356.3547,359.3238
213.0717,-0.0105,1.5405,0.2028,46.8925,356.3626,359.3516
213.0829,-0.0107,1.5424,0.2028,46.5212,356.2518,359.323
213.0939,-0.0109,1.5446,0.2029,46.1842,356.3021,359.368
213.105,-0.0109,1.5479,0.2032,45.4414,356.323,359.4428
213.1162,-0.0109,1.552,0.2038,44.3423,356.4686,359.4063
213.1273,-0.0113,1.556,0.2046,43.0912,356.6598,359.5514
213.1384,-0.0117,1.5612,0.2054,41.3633,356.7932,359.7522
213.1495,-0.0119,1.5659,0.2061,39.4947,356.9665,0.0277
213.1607,-0.012,1.5719,0.2069,37.0003,357.2084,0.2808
213.1717,-0.0121,1.5771,0.2071,34.6734,357.4357,0.444
213.1828,-0.0125,1.5824,0.207,31.8139,357.6705,0.7203
213.1938,-0.0129,1.5869,0.2068,29.5269,357.7478,0.8662
213.205,-0.0134,1.5914,0.2061,27.0525,357.8536,1.1454
213.2162,-0.0137,1.5957,0.2054,24.8118,357.9178,1.3149
213.227,-0.0141,1.5992,0.2047,23.0556,357.9428,1.4226
