time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
325.5987,0.0049,1.2555,0.3189,15.8883,146.8804,350.6735
325.609,0.005,1.2555,0.3188,15.8948,146.862,350.6699
325.62,0.0051,1.2555,0.3188,15.8968,146.8641,350.7221
325.6312,0.0051,1.2554,0.3188,15.8687,146.8578,350.7857
325.6427,0.0051,1.2553,0.3188,15.8468,146.8215,350.8378
325.6535,0.005,1.2552,0.3187,15.8432,146.7535,350.7945
325.6644,0.0049,1.2551,0.3186,15.834,146.6989,350.7115
325.6757,0.0047,1.2551,0.3185,15.8328,146.6341,350.5895
325.6866,0.0047,1.2552,0.3184,15.8474,146.6002,350.549
325.698,0.0046,1.2552,0.3183,15.862,146.5808,350.5972
325.709,0.0046,1.2553,0.3183,15.8592,146.5935,350.674
325.7201,0.0046,1.2554,0.3183,15.8763,146.596,350.7624
325.7314,0.0045,1.2554,0.3182,15.8987,146.5992,350.8278
325.7426,0.0045,1.2555,0.3181,15.9089,146.5869,350.8631
325.7535,0.0045,1.2556,0.3181,15.9269,146.5668,350.8684
325.7645,0.0045,1.2557,0.318,15.9399,146.5506,350.8669
325.7756,0.0044,1.2557,0.3178,15.9417,146.5202,350.8589
325.7868,0.0043,1.2557,0.3178,15.945,146.4807,350.8471
325.7979,0.0043,1.2558,0.3177,15.9711,146.4497,350.8353
325.8089,0.0042,1.2559,0.3177,16.0013,146.4611,350.8436
325.8197,0.0042,1.256,0.3176,16.0106,146.4834,350.92
325.831,0.0043,1.2561,0.3176,16.0246,146.4868,351.0053
325.8423,0.0043,1.2562,0.3176,16.0375,146.4867,351.1005
325.8532,0.0043,1.2562,0.3176,16.0395,146.4869,351.168
325.8645,0.0044,1.2563,0.3176,16.0587,146.5009,351.1938
325.8757,0.0044,1.2563,0.3177,16.0697,146.5225,351.1908
325.8865,0.0044,1.2562,0.3177,16.0597,146.5366,351.1978
325.8976,0.0045,1.2562,0.3177,16.0334,146.5289,351.192
325.9089,0.0044,1.2563,0.3177,16.0476,146.5061,351.1615
325.9202,0.0045,1.2563,0.3177,16.0601,146.476,351.1441
325.9314,0.0045,1.2563,0.3177,16.0476,146.4699,351.1557
325.9425,0.0046,1.2563,0.3177,16.0448,146.4487,351.1585
325.9532,0.0047,1.2564,0.3178,16.0552,146.4491,351.1596
325.9644,0.0048,1.2565,0.3177,16.0971,146.4658,351.1593
325.9756,0.0049,1.2566,0.3178,16.1168,146.4948,351.1928
325.9868,0.0051,1.2567,0.3179,16.1296,146.5291,351.2
325.9976,0.0052,1.2568,0.3179,16.1473,146.5393,351.2171
326.0088,0.0054,1.2569,0.3179,16.1554,146.5562,351.2553
326.0197,0.0055,1.2569,0.318,16.1647,146.5802,351.2974
326.0311,0.0056,1.257,0.3181,16.1712,146.6052,351.3276
326.0423,0.0057,1.2571,0.3181,16.1793,146.6318,351.3352
326.0534,0.0058,1.2572,0.3181,16.1888,146.6492,351.3
326.0643,0.0059,1.2574,0.3181,16.2389,146.6799,351.222
326.0755,0.0059,1.2575,0.318,16.2908,146.6882,351.1929
326.0866,0.006,1.2576,0.318,16.3127,146.6965,351.2298
326.0979,0.006,1.2577,0.318,16.3286,146.6955,351.3162
326.1092,0.0061,1.2577,0.318,16.3305,146.7039,351.376
326.12,0.0063,1.2577,0.318,16.3376,146.7209,351.3893
326.1314,0.0064,1.2578,0.318,16.3687,146.7438,351.3788
326.1424,0.0067,1.2579,0.318,16.418,146.807,351.4509
326.1535,0.007,1.2578,0.3182,16.4212,146.9057,351.6311
326.1645,0.0072,1.2575,0.3184,16.3539,147.0346,351.9273
326.1756,0.0074,1.2572,0.3187,16.2557,147.1467,352.1981
326.1865,0.0076,1.2568,0.3191,16.1684,147.2242,352.3386
326.198,0.0077,1.2565,0.3194,16.0709,147.3128,352.4168
326.2088,0.0078,1.2564,0.3195,15.9929,147.3584,352.3929
326.2202,0.0079,1.2567,0.3197,15.9721,147.3424,352.3031
326.2312,0.0081,1.2572,0.3198,16.0386,147.3361,352.2936
326.2423,0.0089,1.2585,0.3204,16.1687,147.4048,352.5019
326.2532,0.0105,1.2606,0.3217,16.5205,147.7131,352.9377
326.2647,0.0139,1.2635,0.3242,17.0193,148.7746,354.3005
326.2755,0.0188,1.2662,0.328,17.1717,150.5138,356.7343
326.2868,0.0235,1.2684,0.3316,17.1481,152.1323,359.0902
326.2977,0.0295,1.2712,0.3362,17.2076,153.874,1.1572
326.3087,0.035,1.2743,0.3407,17.5504,155.3173,2.0182
326.3199,0.0422,1.2782,0.3464,18.1993,157.1989,2.2005
326.3311,0.0491,1.2818,0.352,18.7083,158.9802,2.0521
326.3422,0.058,1.2863,0.3595,19.2215,161.3492,2.0845
326.3532,0.0661,1.2903,0.3664,19.641,163.4554,2.4409
326.3644,0.0763,1.2948,0.3751,19.9736,165.813,3.1374
326.3755,0.0868,1.2995,0.3845,20.5401,168.2601,3.705
326.3868,0.095,1.3033,0.3926,21.0602,169.7855,3.6385
326.3979,0.1042,1.308,0.4028,21.7773,171.0361,3.0825
326.409,0.1117,1.3123,0.4121,22.538,171.8102,2.1667
326.4201,0.1212,1.3177,0.4241,23.5145,172.9509,0.827
326.4311,0.1296,1.3225,0.4346,24.2121,174.276,359.8911
326.4424,0.1396,1.3287,0.4477,25.1516,176.1103,359.0483
326.4535,0.1491,1.3349,0.4616,26.2052,177.9079,358.4954
326.4648,0.1563,1.3397,0.4737,26.9429,179.175,358.1797
326.4758,0.1632,1.345,0.4891,27.5294,179.941,357.6921
326.4867,0.1673,1.349,0.5028,27.817,179.7791,357.0712
326.4979,0.1713,1.3533,0.5206,27.8796,178.9793,356.1287
326.5089,0.1744,1.3567,0.5365,27.7522,178.2144,355.1779
326.5204,0.1775,1.3605,0.5566,27.1646,177.4802,354.3298
326.5314,0.1811,1.3642,0.5749,26.9651,177.1626,353.777
