ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p27,1,1,1,1,53.28553,59.66865,Practice,Hit,53.75208,59.1353,Centre,0,0,1,Infinity,1.1073,posture_decision_experiment/p27/S001/movement_head_T001.csv,posture_decision_experiment/p27/S001/movement_right_hand_T001.csv,posture_decision_experiment/p27/S001/movement_left_hand_T001.csv
p27,1,2,1,2,75.10825,80.53602,Practice,Hit,75.48568,77.49147,Centre,0,0,1.5,Infinity,1.1573,posture_decision_experiment/p27/S001/movement_head_T002.csv,posture_decision_experiment/p27/S001/movement_right_hand_T002.csv,posture_decision_experiment/p27/S001/movement_left_hand_T002.csv
p27,1,3,1,3,91.86408,93.592,Practice,Hit,92.27497,93.03643,Centre,0,0,1.3,Infinity,1.0211,posture_decision_experiment/p27/S001/movement_head_T003.csv,posture_decision_experiment/p27/S001/movement_right_hand_T003.csv,posture_decision_experiment/p27/S001/movement_left_hand_T003.csv
p27,1,4,1,4,97.96446,99.25886,Practice,Hit,98.28645,98.90329,Centre,0,0,1,Infinity,1.4937,posture_decision_experiment/p27/S001/movement_head_T004.csv,posture_decision_experiment/p27/S001/movement_right_hand_T004.csv,posture_decision_experiment/p27/S001/movement_left_hand_T004.csv
p27,1,5,1,5,102.6424,104.3035,Practice,Hit,103.0979,103.6257,Centre,0,0,1.5,Infinity,0.8679,posture_decision_experiment/p27/S001/movement_head_T005.csv,posture_decision_experiment/p27/S001/movement_right_hand_T005.csv,posture_decision_experiment/p27/S001/movement_left_hand_T005.csv
p27,1,6,1,6,107.6534,109.2259,Practice,Hit,108.1425,108.7258,Centre,0,0,1.3,Infinity,0.854,posture_decision_experiment/p27/S001/movement_head_T006.csv,posture_decision_experiment/p27/S001/movement_right_hand_T006.csv,posture_decision_experiment/p27/S001/movement_left_hand_T006.csv
p27,1,7,2,1,122.7874,124.4597,Baseline,Hit,123.1319,123.6819,Centre,0,0,1.5,Infinity,1.0973,posture_decision_experiment/p27/S001/movement_head_T007.csv,posture_decision_experiment/p27/S001/movement_right_hand_T007.csv,posture_decision_experiment/p27/S001/movement_left_hand_T007.csv
p27,1,8,2,2,128.1875,129.5043,Baseline,Hit,128.6097,129.1487,Centre,0,0,1.3,Infinity,1.0531,posture_decision_experiment/p27/S001/movement_head_T008.csv,posture_decision_experiment/p27/S001/movement_right_hand_T008.csv,posture_decision_experiment/p27/S001/movement_left_hand_T008.csv
p27,1,9,2,3,132.8652,133.7934,Baseline,Hit,133.2648,133.56,Centre,0,0,1,Infinity,0.8065,posture_decision_experiment/p27/S001/movement_head_T009.csv,posture_decision_experiment/p27/S001/movement_right_hand_T009.csv,posture_decision_experiment/p27/S001/movement_left_hand_T009.csv
p27,1,10,2,4,137.3768,138.6935,Baseline,Hit,137.7658,138.1046,Centre,0,0,1.5,Infinity,1.0166,posture_decision_experiment/p27/S001/movement_head_T010.csv,posture_decision_experiment/p27/S001/movement_right_hand_T010.csv,posture_decision_experiment/p27/S001/movement_left_hand_T010.csv
p27,1,11,2,5,142.2433,143.427,Baseline,Hit,142.6875,143.0603,Centre,0,0,1,Infinity,1.0321,posture_decision_experiment/p27/S001/movement_head_T011.csv,posture_decision_experiment/p27/S001/movement_right_hand_T011.csv,posture_decision_experiment/p27/S001/movement_left_hand_T011.csv
p27,1,12,2,6,147.4082,148.3716,Baseline,Hit,147.9084,147.9938,Centre,0,0,1.3,Infinity,1.4566,posture_decision_experiment/p27/S001/movement_head_T012.csv,posture_decision_experiment/p27/S001/movement_right_hand_T012.csv,posture_decision_experiment/p27/S001/movement_left_hand_T012.csv
p27,1,13,2,7,152.1194,153.2495,Baseline,Hit,152.5967,152.8717,Centre,0,0,1.3,Infinity,1.3525,posture_decision_experiment/p27/S001/movement_head_T013.csv,posture_decision_experiment/p27/S001/movement_right_hand_T013.csv,posture_decision_experiment/p27/S001/movement_left_hand_T013.csv
