time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
385.7916,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8026,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8135,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8245,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8356,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8468,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8579,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8691,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8799,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.8915,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9022,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9131,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9248,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9356,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9469,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9577,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9688,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.98,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
385.9909,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0024,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0133,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0242,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0353,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0464,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0578,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0688,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0799,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.0909,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1023,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1133,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1243,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1356,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1466,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1577,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1688,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.1798,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.191,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2021,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2134,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2246,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2357,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2466,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2581,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2691,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.2798,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.291,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3024,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3131,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3243,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3355,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3467,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3575,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3687,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.38,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.3911,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.4022,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
386.4131,-1.234,0.042,-0.918,317.7965,243.6273,12.9547
